service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
i-tr102_29,20260622,20260628,0,0,0,0,0,1,0
i-tr102_30,20260629,20260705,1,1,1,1,1,1,0
i-tr102_31,20260706,20260712,1,1,1,1,1,1,0
i-tr102_32,20260713,20260719,1,1,1,1,1,1,0
i-tr102_33,20260720,20260726,1,1,1,1,1,1,0
i-tr102_34,20260727,20260802,1,1,1,1,1,1,0
i-tr102_35,20260803,20260809,1,1,1,1,1,1,0
i-tr102_36,20260810,20260816,1,1,1,1,1,1,0
i-tr102_37,20260817,20260823,1,1,1,1,1,1,0
i-tr102_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1031_10,20260209,20260215,1,1,1,1,1,0,0
i-tr1031_11,20260216,20260222,1,1,1,1,1,0,0
i-tr1031_12,20260223,20260301,1,1,1,1,1,0,0
i-tr1031_13,20260302,20260308,1,1,1,1,1,0,0
i-tr1031_14,20260309,20260315,1,1,1,1,1,0,0
i-tr1031_15,20260316,20260322,1,1,1,1,1,0,0
i-tr1031_16,20260323,20260329,1,1,1,1,1,0,0
i-tr1031_17,20260330,20260405,1,1,1,1,1,0,0
i-tr1031_18,20260406,20260412,0,1,1,1,1,0,0
i-tr1031_19,20260413,20260419,1,1,1,1,1,0,0
i-tr1031_2,20251215,20251221,1,1,1,1,1,0,0
i-tr1031_20,20260420,20260426,1,1,1,1,1,0,0
i-tr1031_21,20260427,20260503,1,1,1,1,0,0,0
i-tr1031_22,20260504,20260510,1,1,1,1,1,0,0
i-tr1031_23,20260511,20260517,1,1,1,1,1,0,0
i-tr1031_24,20260518,20260524,1,1,1,1,1,0,0
i-tr1031_25,20260525,20260531,1,1,1,1,1,0,0
i-tr1031_26,20260601,20260607,1,1,1,0,1,0,0
i-tr1031_27,20260608,20260614,1,1,1,1,1,0,0
i-tr1031_28,20260615,20260621,1,1,1,1,1,0,0
i-tr1031_29,20260622,20260628,0,1,1,1,1,0,0
i-tr1031_3,20251222,20251228,1,1,1,0,0,0,0
i-tr1031_30,20260629,20260705,1,1,1,1,1,0,0
i-tr1031_31,20260706,20260712,1,1,1,1,1,0,0
i-tr1031_32,20260713,20260719,1,1,1,1,1,0,0
i-tr1031_33,20260720,20260726,1,1,1,1,1,0,0
i-tr1031_34,20260727,20260802,1,1,1,1,1,0,0
i-tr1031_35,20260803,20260809,1,1,0,1,1,0,0
i-tr1031_36,20260810,20260816,1,1,1,1,1,0,0
i-tr1031_37,20260817,20260823,1,1,1,1,1,0,0
i-tr1031_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1031_39,20260831,20260906,1,1,1,1,1,0,0
i-tr1031_4,20251229,20260104,1,1,1,0,1,0,0
i-tr1031_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1031_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1031_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1031_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1031_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1031_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1031_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1031_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1031_48,20261102,20261108,1,1,1,1,1,0,0
i-tr1031_49,20261109,20261115,1,1,1,1,1,0,0
