route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
i-tr142,HŽ,,Zagreb Glavni kolodvor - Slavonski Brod,,2
i-tr25,HŽ,,Pula - Buzet,,2
i-tr27,HŽ,,Pula - Zagreb Glavni kolodvor,,2
i-tr208,HŽ,,Križevci - Sveti Ivan Žabno,,2
i-tr907,HŽ,,Strizivojna-Vrpolje - Beli Manastir,,2
i-tr189,HŽ,,Zagreb Glavni kolodvor - Križevci,,2
i-tr876dp,HŽ,,Osijek Donji grad - Našice Grad,,2
i-tr1223,HŽ,,Zagreb Glavni kolodvor - Kloštar,,2
i-tr214,HŽ,,Virovitica - Banova Jaruga,,2
i-tr1254,HŽ,,Šapjane - Rijeka,,2
i-tr1035,HŽ,,Hromec - Đurmanec,,2
i-tr678,HŽ,,Moravice - Karlovac,,2
i-tr931,HŽ,,Nova Kapela-Batrina - Velika,,2
i-tr916,HŽ,,Osijek - Strizivojna-Vrpolje,,2
i-tr205,HŽ,,Koprivnica - Bjelovar,,2
i-tr1038,HŽ,,Varaždin - Mursko Središće,,2
i-tr1239,HŽ,,Bubnjarci - Karlovac,,3
i-tr469,HŽ,,Kotoriba - Zabok,,2
i-tr953,HŽ,,Čaglin - Pleternica,,2
i-tr765,HŽ,,Novska - Sunja,,2
i-tr741,HŽ,,Zagreb Glavni kolodvor - Sunja,,2
i-tr134bg,HŽ,,Tovarnik - Zagreb Glavni kolodvor,,2
i-tr784bf,HŽ,,Šibenik - Split,,2
i-tr618,HŽ,,Kotoriba - Koprivnica,,2
i-tr773,HŽ,,Plaški - Ogulin,,2
i-tr783,HŽ,,Split - Perković,,2
i-tr1197,HŽ,,Rijeka - Lupoglav,,3
i-tr1239aq,HŽ,,Bubnjarci - Duga Resa,,3
i-tr853aa,HŽ,,Šibenik - Unešić,,2
i-tr714,HŽ,,Rijeka - Permani,,2
i-tr1259,HŽ,,Split - Kaštel Stari,,2
i-tr877dw,HŽ,,Našice Grad - Osijek,,2
i-tr840,HŽ,,Šibenik - Knin,,2
i-tr223,HŽ,,Vinkovci - Slavonski Brod,,2
i-tr637,HŽ,,Macinec - Čakovec,,2
i-tr662,HŽ,,Zagreb Glavni kolodvor - Duga Resa,,2
i-tr911,HŽ,,Osijek - Slavonski Šamac,,2
i-tr1255,HŽ,,Rijeka - Šapjane,,2
i-tr231er,HŽ,,Tovarnik - Novska,,2
i-tr545,HŽ,,Zabok - Gornja Stubica,,2
i-tr951,HŽ,,Čaglin - Velika,,2
i-tr1217,HŽ,,Volinja - Zagreb Glavni kolodvor,,2
i-tr128,HŽ,,Split - Osijek,,2
i-tr471,HŽ,,Čakovec - Zagreb Glavni kolodvor,,2
i-tr1080,HŽ,,Zagreb Glavni kolodvor - Đurmanec,,2
i-tr1226bu,HŽ,,Virovitica - Bjelovar,,2
i-tr267,HŽ,,Vinkovci - Gunja,,2
i-tr1216,HŽ,,Zagreb Glavni kolodvor - Sisak Caprag,,2
i-tr22,HŽ,,Ploče - Metković,,2
i-tr596,HŽ,,Golubovec - Varaždin,,2
i-tr918,HŽ,,Kloštar - Varaždin,,2
i-tr483ai,HŽ,,Zagreb Glavni kolodvor - Čakovec,,2
i-tr881,HŽ,,Erdut - Osijek,,2
i-tr1226bt,HŽ,,Virovitica - Gradec,,2
i-tr921,HŽ,,Virovitica - Koprivnica,,2
i-tr1045,HŽ,,Zagreb Glavni kolodvor - Vukovar,,2
i-tr1066,HŽ,,Osijek - Zagreb Glavni kolodvor,,2
i-tr906an,HŽ,,Erdut - Slavonski Brod,,2
i-tr571,HŽ,,Kotoriba - Čakovec,,2
i-tr20,HŽ,,Tovarnik - Vinkovci,,2
i-tr771,HŽ,,Volinja - Sisak,,2
i-tr690,HŽ,,Rijeka - Ogulin,,2
i-tr865cq,HŽ,,Osijek - Pitomača,,2
i-tr867cs,HŽ,,Osijek - Špišić Bukovica,,2
