route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible
i-tr102,i-tr102_29,i-tr102_29,,1840,0,,,0,0
i-tr102,i-tr102_30,i-tr102_30,,1840,0,,,0,0
i-tr102,i-tr102_31,i-tr102_31,,1840,0,,,0,0
i-tr102,i-tr102_32,i-tr102_32,,1840,0,,,0,0
i-tr102,i-tr102_33,i-tr102_33,,1840,0,,,0,0
i-tr102,i-tr102_34,i-tr102_34,,1840,0,,,0,0
i-tr102,i-tr102_35,i-tr102_35,,1840,0,,,0,0
i-tr102,i-tr102_36,i-tr102_36,,1840,0,,,0,0
i-tr102,i-tr102_37,i-tr102_37,,1840,0,,,0,0
i-tr102,i-tr102_38,i-tr102_38,,1840,0,,,0,0
i-tr1033,i-tr1031_10,i-tr1031_10,,701,0,,,1,2
i-tr1033,i-tr1031_11,i-tr1031_11,,701,0,,,1,2
i-tr1033,i-tr1031_12,i-tr1031_12,,701,0,,,1,2
i-tr1033,i-tr1031_13,i-tr1031_13,,701,0,,,1,2
i-tr1033,i-tr1031_14,i-tr1031_14,,701,0,,,1,2
i-tr1033,i-tr1031_15,i-tr1031_15,,701,0,,,1,2
i-tr1033,i-tr1031_16,i-tr1031_16,,701,0,,,1,2
i-tr1033,i-tr1031_17,i-tr1031_17,,701,0,,,1,2
i-tr1033,i-tr1031_18,i-tr1031_18,,701,0,,,1,2
i-tr1033,i-tr1031_19,i-tr1031_19,,701,0,,,1,2
i-tr1033,i-tr1031_2,i-tr1031_2,,701,0,,,1,2
i-tr1033,i-tr1031_20,i-tr1031_20,,701,0,,,1,2
i-tr1033,i-tr1031_21,i-tr1031_21,,701,0,,,1,2
i-tr1033,i-tr1031_22,i-tr1031_22,,701,0,,,1,2
i-tr1033,i-tr1031_23,i-tr1031_23,,701,0,,,1,2
i-tr1033,i-tr1031_24,i-tr1031_24,,701,0,,,1,2
i-tr1033,i-tr1031_25,i-tr1031_25,,701,0,,,1,2
i-tr1033,i-tr1031_26,i-tr1031_26,,701,0,,,1,2
i-tr1033,i-tr1031_27,i-tr1031_27,,701,0,,,1,2
i-tr1033,i-tr1031_28,i-tr1031_28,,701,0,,,1,2
i-tr1033,i-tr1031_29,i-tr1031_29,,701,0,,,1,2
i-tr1033,i-tr1031_3,i-tr1031_3,,701,0,,,1,2
i-tr1033,i-tr1031_30,i-tr1031_30,,701,0,,,1,2
i-tr1033,i-tr1031_31,i-tr1031_31,,701,0,,,1,2
i-tr1033,i-tr1031_32,i-tr1031_32,,701,0,,,1,2
i-tr1033,i-tr1031_33,i-tr1031_33,,701,0,,,1,2
i-tr1033,i-tr1031_34,i-tr1031_34,,701,0,,,1,2
i-tr1033,i-tr1031_35,i-tr1031_35,,701,0,,,1,2
i-tr1033,i-tr1031_36,i-tr1031_36,,701,0,,,1,2
i-tr1033,i-tr1031_37,i-tr1031_37,,701,0,,,1,2
i-tr1033,i-tr1031_38,i-tr1031_38,,701,0,,,1,2
i-tr1033,i-tr1031_39,i-tr1031_39,,701,0,,,1,2
i-tr1033,i-tr1031_4,i-tr1031_4,,701,0,,,1,2
i-tr1033,i-tr1031_40,i-tr1031_40,,701,0,,,1,2
i-tr1033,i-tr1031_41,i-tr1031_41,,701,0,,,1,2
i-tr1033,i-tr1031_42,i-tr1031_42,,701,0,,,1,2
i-tr1033,i-tr1031_43,i-tr1031_43,,701,0,,,1,2
i-tr1033,i-tr1031_44,i-tr1031_44,,701,0,,,1,2
i-tr1033,i-tr1031_45,i-tr1031_45,,701,0,,,1,2
i-tr1033,i-tr1031_46,i-tr1031_46,,701,0,,,1,2
i-tr1033,i-tr1031_47,i-tr1031_47,,701,0,,,1,2
i-tr1033,i-tr1031_48,i-tr1031_48,,701,0,,,1,2
i-tr1033,i-tr1031_49,i-tr1031_49,,701,0,,,1,2
i-tr1033,i-tr1031_5,i-tr1031_5,,701,0,,,1,2
i-tr1033,i-tr1031_50,i-tr1031_50,,701,0,,,1,2
i-tr1033,i-tr1031_51,i-tr1031_51,,701,0,,,1,2
i-tr1033,i-tr1031_52,i-tr1031_52,,701,0,,,1,2
i-tr1033,i-tr1031_53,i-tr1031_53,,701,0,,,1,2
i-tr1033,i-tr1031_6,i-tr1031_6,,701,0,,,1,2
i-tr1033,i-tr1031_7,i-tr1031_7,,701,0,,,1,2
i-tr1033,i-tr1031_8,i-tr1031_8,,701,0,,,1,2
i-tr1033,i-tr1031_9,i-tr1031_9,,701,0,,,1,2
i-tr1032,i-tr1032_1,i-tr1032_1,,702,0,,,0,0
i-tr1032,i-tr1032_10,i-tr1032_10,,702,0,,,0,0
i-tr1032,i-tr1032_11,i-tr1032_11,,702,0,,,0,0
